Timestamp(ms),Current(uA)
11860,37242.250
11870,37502.480
11880,37501.371
11890,37320.840
11900,37116.578
11910,37335.781
11920,36797.176
11930,37367.965
11940,37135.742
11950,37527.535
11960,37535.867
11970,37166.664
11980,37174.773
11990,36810.426
12000,37038.539
12010,36530.227
12020,36907.668
12030,37027.160
12040,37116.930
12050,37490.949
12060,37392.277
12070,37615.293
12080,37311.891
12090,37608.945
12100,37653.359
12110,37469.164
12120,37661.707
12130,36920.660
12140,36773.461
12150,36858.902
12160,36722.410
12170,36473.781
12180,36870.789
12190,37059.270
12200,37231.551
12210,37015.426
12220,37412.789
12230,37301.395
12240,37345.676
12250,37292.766
12260,37168.750
12270,36906.355
12280,36774.586
12290,36479.340
12300,36857.191
12310,36687.707
12320,36733.563
12330,36804.480
12340,37329.445
12350,37360.008
12360,37353.430
12370,37065.180
12380,37433.309
12390,37299.309
12400,36831.566
12410,37097.977
12420,37002.879
12430,36922.227
12440,37064.395
12450,36771.781
12460,37114.926
12470,36760.859
12480,37122.887
12490,37184.277
12500,36968.512
12510,37121.023
12520,36927.574
12530,37520.074
12540,37418.879
12550,37664.910
12560,37785.332
12570,37659.797
12580,37797.027
12590,37402.883
12600,37737.551
12610,37245.586
12620,37615.195
12630,37710.332
12640,37605.355
12650,37688.492
12660,37015.500
12670,36567.371
12680,36866.484
12690,36824.914
12700,36594.613
12710,36546.008
12720,37101.277
12730,37191.148
12740,37035.734
12750,36857.180
12760,37223.199
12770,37264.066
12780,37249.516
12790,36653.125
12800,36813.660
12810,36687.230
12820,36448.129
12830,36401.996
12840,36607.391
12850,36756.836
12860,36746.242
12870,37077.188
12880,37264.383
12890,37266.023
12900,37072.164
12910,36864.418
12920,37224.746
12930,36552.227
12940,36828.539
12950,36388.797
12960,36693.313
12970,36810.563
12980,36608.066
12990,36871.418
13000,36540.230
13010,36884.352
13020,36763.820
13030,36699.082
13040,36833.180
13050,36789.848
13060,37291.129
13070,37132.816
13080,37437.199
13090,37339.578
13100,37448.305
13110,37494.203
13120,37226.129
13130,37477.258
13140,37090.547
13150,37438.250
13160,37247.277
13170,37454.492
13180,37494.359
13190,36914.652
13200,36556.125
13210,36725.461
13220,36882.266
13230,36651.375
13240,36563.555
13250,37105.906
13260,37262.609
13270,37130.836
13280,36920.125
13290,37111.832
13300,37332.598
13310,37308.090
13320,36665.406
13330,36641.891
13340,36734.020
13350,36516.086
13360,36294.367
13370,36648.742
13380,36921.977
13390,36903.465
13400,37204.668
13410,37441.910
13420,37494.227
13430,37321.969
13440,37084.527
13450,37257.426
13460,36811.801
13470,36999.727
13480,36615.484
13490,36883.344
13500,36840.531
13510,36851.094
13520,37087.215
13530,36782.402
13540,37059.879
13550,36592.996
13560,36943.816
13570,36999.730
13580,37106.676
13590,37484.770
13600,37381.090
13610,37609.105
13620,37329.668
13630,37598.520
13640,37584.297
13650,37437.316
13660,37663.941
13670,37353.426
13680,37644.879
13690,37326.621
13700,37542.242
13710,37342.871
13720,36959.871
13730,36633.449
13740,36564.945
13750,36873.223
13760,36705.246
13770,36493.438
13780,36408.797
13790,37016.051
13800,37011.949
13810,37081.781
13820,36979.023
13830,37331.754
13840,37226.887
13850,37033.629
13860,36712.598
13870,36835.195
13880,36622.609
13890,36535.930
13900,36404.434
13910,36625.102
13920,36474.492
13930,36404.359
13940,37002.793
13950,37076.020
13960,37175.207
13970,37133.129
13980,36955.512
13990,37244.051
14000,37109.492
14010,36454.195
14020,36689.805
14030,36750.594
14040,36552.059
14050,36773.465
14060,36441.738
14070,36777.594
14080,36767.926
14090,36751.598
14100,36859.039
14110,36787.914
14120,37257.938
14130,37088.473
14140,37402.125
14150,37294.613
14160,37403.316
14170,37460.125
14180,37202.613
14190,37451.852
14200,37074.207
14210,37435.648
14220,37234.051
14230,37435.242
14240,37480.023
14250,36908.652
14260,36525.609
14270,36678.828
14280,36856.316
14290,36627.352
14300,36405.148
14310,36692.832
14320,36917.117
14330,36877.363
14340,36969.910
14350,37230.789
14360,37309.754
14370,37130.109
14380,36904.625
14390,37085.082
14400,37045.535
14410,36721.949
14420,36620.512
14430,36844.637
14440,36724.820
14450,36532.719
14460,36549.559
14470,37122.641
14480,37143.078
14490,37223.480
14500,37211.613
14510,37480.867
14520,37363.348
14530,37170.066
14540,36938.238
14550,36802.281
14560,36920.379
14570,36618.969
14580,36914.867
14590,36526.066
14600,36909.719
14610,37067.723
14620,36864.133
14630,37020.602
14640,36802.777
14650,37412.277
14660,37337.359
14670,37586.660
14680,37692.176
14690,37523.770
14700,37566.117
14710,37134.305
14720,37464.410
14730,36949.852
14740,37383.992
14750,37501.172
14760,37396.754
14770,37479.359
14780,36880.305
14790,36498.430
14800,36817.656
14810,36789.094
14820,36551.266
14830,36515.523
14840,36675.945
14850,36769.113
14860,36757.258
14870,37068.957
14880,37259.496
14890,37248.910
14900,37045.426
14910,36853.645
14920,37219.242
14930,37240.660
14940,37227.305
14950,36631.883
14960,36769.129
14970,36661.809
14980,36427.059
14990,36410.672
15000,36604.281
15010,36456.441
15020,36420.695
15030,37057.047
15040,37183.363
15050,37047.832
15060,36881.492
15070,37120.188
15080,37268.453
15090,37248.715
15100,37047.992
15110,36851.398
15120,37217.922
15130,36532.574
15140,36805.238
15150,36368.422
15160,36666.945
15170,36760.910
15180,36563.258
15190,36830.512
15200,36500.594
15210,36842.984
15220,36742.551
15230,37066.809
15240,37313.102
15250,37242.832
15260,37464.105
15270,37248.531
15280,37484.605
15290,37013.117
15300,37371.641
15310,37449.535
15320,37217.691
15330,37443.875
15340,37274.602
15350,37486.488
15360,36922.680
15370,36961.992
15380,36647.305
15390,36546.496
15400,36711.012
15410,36843.246
15420,36679.816
15430,36544.398
15440,37217.879
15450,37238.555
15460,37311.164
15470,37230.734
15480,37123.223
15490,37406.719
15500,37246.762
15510,36833.016
15520,36852.590
15530,36807.086
15540,36747.313
15550,36408.746
15560,36828.426
15570,36716.445
15580,36772.785
15590,36769.570
15600,37315.188
15610,37369.742
15620,37371.078
15630,37030.328
15640,37429.934
15650,37341.555
15660,36653.594
15670,36890.102
15680,36935.055
15690,36844.457
15700,36756.047
15710,36545.258
15720,36714.844
15730,36911.113
15740,36988.797
15750,37000.039
15760,37018.008
15770,36695.883
15780,36949.383
15790,37033.684
15800,37089.695
15810,37099.992
15820,36624.734
15830,36966.344
15840,37111.340
15850,37155.488
15860,37195.789
15870,36983.934
15880,36711.453
15890,36902.559
15900,36990.305
15910,37000.879
15920,36983.645
15930,36771.813
15940,37291.313
15950,36961.813
15960,37386.582
15970,37559.930
15980,37322.676
15990,37565.738
16000,37452.375
16010,37671.625
16020,37387.031
16030,37565.234
16040,37521.824
16050,37316.887
16060,37503.930
16070,36763.637
16080,36921.953
16090,36561.504
16100,36760.246
16110,36886.613
16120,36612.301
16130,36847.402
16140,36418.023
16150,36790.816
16160,36830.898
16170,36648.254
16180,36851.230
16190,36732.180
16200,36946.773
16210,37362.797
16220,37291.422
16230,37074.824
16240,37072.336
16250,37299.156
16260,37354.066
16270,36730.656
16280,36895.500
16290,36381.152
16300,36749.957
16310,36878.676
16320,36648.766
16330,36890.656
16340,36530.625
16350,36852.508
16360,36704.313
16370,36689.363
16380,36874.816
16390,36824.598
16400,36994.090
16410,37493.840
16420,37100.953
16430,37112.965
16440,36692.383
16450,36924.508
16460,36659.566
16470,36874.270
16480,37074.059
16490,36809.500
16500,37071.305
16510,36586.762
16520,36972.770
16530,36985.277
16540,37162.035
16550,37511.773
16560,37435.348
16570,37624.402
16580,37189.293
16590,37565.133
16600,37578.746
16610,37443.125
16620,37630.965
16630,36903.828
16640,37083.875
16650,36774.621
16660,36962.320
16670,37018.402
16680,37053.059
16690,37412.320
16700,37219.270
16710,37449.957
16720,37115.844
16730,36854.969
16740,36921.398
16750,36583.047
16760,36882.570
16770,36486.098
16780,37200.074
16790,37405.078
16800,37376.684
16810,37461.516
16820,36889.789
16830,36984.184
16840,36652.184
16850,36902.082
16860,36948.039
16870,37072.422
16880,37361.945
16890,37054.086
16900,37429.145
16910,36903.539
16920,36902.188
16930,36956.824
16940,36671.961
16950,36846.363
16960,36539.457
16970,37212.488
16980,37372.934
16990,37373.938
17000,37518.926
17010,36875.645
17020,36998.738
17030,37390.238
17040,37324.078
17050,37303.770
17060,36694.941
17070,36715.055
17080,36787.020
17090,36752.398
17100,36717.125
17110,36686.004
17120,36488.797
17130,36797.031
17140,36931.395
17150,36970.324
17160,36999.086
17170,36503.242
17180,36876.664
17190,37002.309
17200,37066.836
17210,37085.199
17220,37088.824
17230,36845.941
17240,37064.746
17250,37123.965
17260,37152.188
17270,37015.258
17280,36520.484
17290,36816.918
17300,36950.699
17310,36992.125
17320,37011.184
17330,36630.035
17340,37155.402
17350,37420.461
17360,37379.254
17370,37563.230
17380,37208.492
17390,37514.031
17400,37538.125
17410,37802.715
17420,37849.957
17430,37574.508
17440,37695.359
17450,37484.328
17460,37683.598
17470,36911.098
17480,37059.813
17490,37035.930
17500,36814.191
17510,37023.973
17520,36627.582
17530,36943.418
17540,36888.238
17550,36846.949
17560,36992.211
17570,36956.328
17580,36916.719
17590,37434.207
17600,37426.547
17610,37454.207
17620,37153.914
17630,37441.438
17640,37495.863
17650,36869.645
17660,37059.246
17670,36534.867
17680,36893.125
17690,36967.605
17700,36671.461
17710,36882.984
17720,36525.535
17730,36885.738
17740,36719.086
17750,37068.473
17760,37041.594
17770,36882.520
17780,37347.160
17790,37388.094
17800,37214.715
17810,37130.605
17820,36990.586
17830,36703.641
