Timestamp(ms),Current(uA)
13700,42179.875
13710,41780.973
13720,42200.742
13730,42295.523
13740,42389.215
13750,42310.406
13760,41875.602
13770,42035.676
13780,42120.184
13790,42086.516
13800,42115.824
13810,42064.703
13820,41322.395
13830,41385.328
13840,41475.234
13850,42130.672
13860,41840.063
13870,41187.828
13880,41549.027
13890,41634.242
13900,41718.477
13910,41678.453
13920,41567.320
13930,41366.332
13940,41612.930
13950,41648.031
13960,41650.336
13970,41558.844
13980,41466.348
13990,41906.617
14000,41786.211
14010,42068.270
14020,42160.105
14030,41981.234
14040,42220.625
14050,41887.168
14060,42227.805
14070,41707.074
14080,42139.680
14090,42169.719
14100,42094.277
14110,42157.879
14120,41452.508
14130,41563.750
14140,41587.855
14150,41526.473
14160,41481.180
14170,40918.547
14180,41237.184
14190,41343.434
14200,41437.027
14210,41406.484
14220,41472.063
14230,41102.379
14240,41393.133
14250,41451.473
14260,41517.957
14270,41514.508
14280,41279.082
14290,41840.453
14300,41895.121
14310,41927.613
14320,42202.848
14330,41806.176
14340,42120.852
14350,41894.004
14360,42169.355
14370,41744.750
14380,41851.340
14390,41903.348
14400,41759.953
14410,41856.500
14420,40946.648
14430,41187.766
14440,41238.629
14450,41204.523
14460,41192.961
14470,41106.930
14480,41127.004
14490,41039.145
14500,41090.691
14510,41025.809
14520,41077.641
14530,41018.867
14540,41051.004
14550,41017.391
14560,41053.859
14570,41017.539
14580,41077.770
14590,41025.379
14600,41070.289
14610,41013.418
14620,41057.086
14630,40997.848
14640,41265.727
14650,41311.703
14660,41380.004
14670,41350.836
14680,41412.668
14690,41365.410
14700,41417.273
14710,41353.578
14720,41403.090
14730,41361.117
14740,41410.910
14750,41370.508
14760,41417.742
14770,41375.219
14780,41406.875
14790,41365.570
14800,41403.137
14810,41337.125
14820,41385.367
14830,40958.352
14840,41298.391
14850,41582.984
14860,41623.277
14870,41654.016
14880,41400.281
14890,41615.242
14900,41257.387
14910,41615.820
14920,41663.969
14930,41507.902
14940,41747.004
14950,41633.160
14960,42196.184
14970,41706.883
14980,42231.121
14990,42337.895
15000,42155.078
15010,42332.305
15020,42188.145
15030,42377.645
15040,41895.551
15050,42265.500
15060,42410.121
15070,42125.363
15080,42387.207
15090,41737.059
15100,41878.461
15110,41353.184
15120,41673.531
15130,41739.418
15140,41844.215
15150,42196.031
15160,41876.133
15170,42224.242
15180,42055.762
15190,41675.516
15200,41825.398
15210,41397.645
15220,41741.207
15230,41167.434
15240,41864.785
15250,42029.520
15260,41846.379
15270,42014.277
15280,41299.285
15290,41478.211
15300,41539.969
15310,41367.777
15320,41594.867
15330,41539.875
15340,42198.129
15350,41719.094
15360,42243.613
15370,42283.477
15380,41599.465
15390,41638.746
15400,41232.313
15410,41530.988
15420,41568.379
15430,41760.242
15440,42092.797
15450,41740.863
15460,42099.145
15470,41384.586
15480,41572.676
15490,41564.555
15500,41643.148
15510,41528.891
15520,41548.516
15530,41477.328
15540,41463.676
15550,41378.891
15560,41433.711
15570,41369.582
15580,41442.984
15590,41380.355
15600,41460.094
15610,41379.391
15620,41449.531
15630,41396.723
15640,41456.520
15650,41387.746
15660,41436.313
15670,41372.824
15680,41562.742
15690,41962.645
15700,42196.953
15710,42183.617
15720,42291.516
15730,41973.473
15740,42267.867
15750,42290.820
15760,42382.465
15770,42345.465
15780,41871.113
15790,42205.621
15800,42461.633
15810,42449.348
15820,42552.371
15830,42493.352
15840,42258.496
15850,43206.941
15860,43062.383
15870,42929.906
15880,42952.676
15890,42369.102
15900,42750.023
15910,42755.289
15920,42862.449
15930,42701.340
15940,42302.336
15950,42493.664
15960,42632.656
15970,42627.813
15980,42698.668
15990,42599.664
16000,41895.711
16010,42014.078
16020,42174.582
16030,42195.922
16040,42297.395
16050,41686.633
16060,42088.852
16070,42148.828
16080,42280.793
16090,42220.395
16100,42140.086
16110,41903.402
16120,42177.199
16130,42176.016
16140,42282.820
16150,42177.625
16160,41822.285
16170,42033.973
16180,42216.430
16190,42197.027
16200,42284.949
16210,41706.805
16220,42471.582
16230,42680.262
16240,42542.254
16250,42768.574
16260,42467.074
16270,42747.949
16280,42534.070
16290,42762.375
16300,42908.480
16310,42697.289
16320,42857.879
16330,42397.008
16340,42757.887
16350,42201.656
16360,42698.168
16370,42687.570
16380,42647.160
16390,42681.957
16400,42043.496
16410,41990.813
16420,42004.980
16430,41920.969
16440,41925.105
16450,41295.539
16460,41696.129
16470,41735.652
16480,41821.965
16490,41721.035
16500,41779.934
16510,41599.250
16520,41849.797
16530,41861.258
16540,41974.039
16550,41923.246
16560,41596.531
16570,41822.469
16580,42006.172
16590,41980.461
16600,42062.203
16610,41498.527
16620,42245.102
16630,42454.125
16640,42332.969
16650,42533.547
16660,42191.801
16670,42427.090
16680,42208.617
16690,42420.555
16700,42572.703
16710,42330.414
16720,42468.762
16730,41991.707
16740,42344.824
16750,41796.566
16760,42273.496
16770,42253.164
16780,42259.199
16790,42349.508
16800,41335.020
16810,41629.871
16820,41787.949
16830,41755.180
16840,41733.707
16850,42838.309
16860,42739.617
16870,41894.949
16880,41702.871
16890,41513.297
16900,41523.129
16910,41438.316
16920,41501.746
16930,41434.484
16940,41515.004
16950,41438.969
16960,41499.742
16970,41425.531
16980,41502.953
16990,41433.641
17000,41391.594
17010,41310.629
17020,41676.695
17030,41698.465
17040,41809.785
17050,41771.691
17060,41829.695
17070,41771.086
17080,41876.781
17090,41794.879
17100,41847.617
17110,41766.293
17120,41829.957
17130,41773.457
17140,41840.547
17150,41771.824
17160,41830.230
17170,41768.262
17180,41846.859
17190,41777.605
17200,41834.965
17210,41652.992
17220,42234.477
17230,42349.164
17240,42494.707
17250,42446.402
17260,42167.547
17270,42360.609
17280,42542.801
17290,42512.238
17300,42602.305
17310,42452.434
17320,42389.887
17330,42525.453
17340,42677.770
17350,42626.602
17360,42721.422
17370,42260.047
17380,42649.246
17390,42692.000
17400,42796.215
17410,42719.766
17420,42359.789
17430,42482.898
17440,42610.316
17450,42586.992
17460,42661.922
17470,42316.910
17480,42476.039
17490,42518.020
17500,42644.199
17510,42581.402
17520,42631.684
17530,41810.055
17540,42047.453
17550,42092.172
17560,42222.496
17570,42168.410
17580,41911.426
17590,42092.102
17600,42287.430
17610,42212.109
17620,42293.555
17630,42046.633
17640,41947.184
17650,42069.395
17660,42200.977
17670,42151.766
17680,42229.000
17690,41720.980
17700,42091.922
17710,41656.082
